category	tool	status	first_official_method	one_liner	note
Dashboards	AdGuardian-Term	VERIFIED_ONE_LINER	Docker	docker run -it lissy93/adguardian	
Dashboards	apachetop	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	atop	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	Backlog.md	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	bandwhich	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	bashtop	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	below	VERIFIED_ONE_LINER	DNF	sudo dnf install below	
Dashboards	binsider	VERIFIED_ONE_LINER	Cargo	cargo install binsider	
Dashboards	bmon	VERIFIED_ONE_LINER	source build (Debian/Ubuntu)	git clone https://github.com/tgraf/bmon.git && cd bmon && apt-get install build-essential make libconfuse-dev libnl-3-dev libnl-route-3-dev libncurses-dev pkg-config dh-autoreconf && ./autogen.sh && ./configure && make && make install	
Dashboards	bottom	VERIFIED_ONE_LINER	Cargo	cargo install bottom --locked	
Dashboards	bpytop	VERIFIED_ONE_LINER	PyPI	pip3 install bpytop --upgrade	
Dashboards	btop++	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	bullmq-dash	VERIFIED_ONE_LINER	Homebrew	brew install quanghuynt14/tap/bullmq-dash	
Dashboards	cgdb	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	chdig	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
Dashboards	cheatshh	VERIFIED_ONE_LINER	PyPI	pip install cheatshh	
Dashboards	claws	VERIFIED_ONE_LINER	Homebrew cask	brew install --cask clawscli/tap/claws	
Dashboards	cointop	NEEDS_FOLLOWUP	upstream check incomplete	—	No exact first official one-liner was safely captured in this pass; do not infer a package command from this row.
